0.20741721854304634,0.11264566249460509,0.17265603890840314,7.417078437428315,0.14600037292560133,1840.5855531692505
0.2002317880794702,0.10874334628111063,0.1550932180491759,7.450546774121965,0.14094256945739325,1851.8288216590881
0.1888907284768212,0.10258416055243849,0.13726019994596056,7.4457678680412736,0.13295963080365467,1897.7931447029114
0.16913079470198675,0.18370558193065745,0.3339637935693056,7.136779998323796,0.17611716433349422,1851.2145104408264
0.16847682119205298,0.18299525248165732,0.2769521750878141,7.246304422385707,0.17543617681539206,1833.7318563461304
0.16468543046357617,0.17887713997985902,0.24236692785733585,7.319715917510476,0.17148817322943247,1848.547560930252
0.15675496688741722,0.17026327147173068,0.21426641448257228,7.366952587021318,0.16323012206054754,1863.7975115776062
0.1468956953642384,0.15955438066465258,0.18778708457173737,7.377881194330209,0.15296358871801946,1906.047564983368
0.1264776490066225,0.2747536325708531,0.5474196163199135,6.962889067134485,0.17321776790168245,1839.3019425868988
0.1271523178807947,0.2762192490289167,0.3993515266144285,7.0939610181365875,0.1741417622783547,1842.3937304019928
0.12482615894039735,0.27116601927780176,0.33315320183734126,7.184743822753259,0.17095596571584054,1845.828516960144
0.11808360927152318,0.25651884620917853,0.28992164279924343,7.245879241377352,0.16172169062627545,1863.9849872589111
0.11021109271523179,0.23941699036109912,0.252364225884896,7.276356303515751,0.15093986667271325,1898.149643421173
0.09039114238410596,0.39272227017695294,0.7487165630910565,6.7403295272963755,0.14695768619956395,1828.8399856090546
0.09146316225165563,0.39737987339951086,0.6349635233720616,6.885546805199005,0.14870057333584558,1832.1730620861053
0.09055877483443708,0.3934505826499784,0.4741961631991354,6.999656780897659,0.1472302226050443,1841.0732026100159
0.08721026490066225,0.37890231621349446,0.3952985679546069,7.077201318310288,0.1417862237894,1856.0182852745056
0.08148385761589404,0.3540228024744641,0.33612537152121047,7.128051850076897,0.13247624559231244,1892.4276940822601
0.06027835264900662,0.5237825492734858,0.895433666576601,6.487579828577254,0.108114578848124,1832.7734220027924
0.062195778145695366,0.5404438210329449,0.8743582815455282,6.62356651415835,0.11155365176463602,1833.861510515213
0.06218853476821192,0.5403808804488562,0.75249932450689,6.756426407695819,0.11154066012382888,1848.713838815689
0.06114548841059603,0.531317436340095,0.5614698730072953,6.8567660017106835,0.10966986384760435,1865.6765851974487
0.05823158112582782,0.5059973385124442,0.458794920291813,6.926849046725009,0.10444351234577066,1895.9126555919647
